Symbol,Scientific Name,Common Name
BAILE,Baileya Harv. & A. Gray ex A. Gray,desert marigold
BAMU,Baileya multiradiata Harv. & A. Gray ex A. Gray,desert marigold
BAPL3,Baileya pleniradiata Harv. & A. Gray ex A. Gray,woolly desert marigold
BIBE2,Bidens beckii Torr. ex Spreng.,Beck's water-marigold
CALEN,Calendula L.,marigold
CAAR,Calendula arvensis L.,field marigold
CAOF,Calendula officinalis L.,pot marigold
CALTH,Caltha L.,marsh marigold
CALE4,Caltha leptosepala DC.,white marsh marigold
CALEH2,Caltha leptosepala DC. ssp. howellii (Huth) P.G. Sm.,Howell's marsh marigold
CALEL7,Caltha leptosepala DC. ssp. leptosepala,white marsh marigold
CALEL8,Caltha leptosepala DC. ssp. leptosepala var. leptosepala,white marsh marigold
CALES4,Caltha leptosepala DC. ssp. leptosepala var. sulfurea C.L. Hitchc.,sulphur marsh marigold
CANA,Caltha natans Pall. ex Georgi,floating marsh marigold
CAPA5,Caltha palustris L.,yellow marsh marigold
CAPAP6,Caltha palustris L. var. palustris,yellow marsh marigold
CAPAR3,Caltha palustris L. var. radicans (T.F. Forst.) Beck,yellow marsh marigold
CATR18,Castalis tragus (Aiton) Norl.,Cape marigold
DIMOR3,Dimorphotheca Moench,Cape marigold
DISI4,Dimorphotheca sinuata DC.,glandular Cape marigold
DYPA,Dyssodia papposa (Vent.) Hitchc.,fetid marigold
NATA3,Navarretia tagetina Greene,marigold pincushionplant
PIMA4,Piper marginatum Jacq.,marigold pepper
TAGET,Tagetes L.,marigold
TAER,Tagetes erecta L.,Aztec marigold
TALE,Tagetes lemmonii A. Gray,Lemmon's marigold
TALU3,Tagetes lucida Cav.,sweetscented marigold
TAMI,Tagetes micrantha Cav.,licorice marigold
TAMI2,Tagetes minima L.,miniature marigold
TAPA,Tagetes patula L.,French marigold
TAPU5,Tagetes pusilla Kunth,lesser marigold
TIDI2,Tithonia diversifolia (Hemsl.) A. Gray,tree marigold
